OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
CF2-1	12	0	1516.16236	239.60656	536.08856	259.67213
CF2-1	12	1	1394.53875	243.14754	460.51661	251.40984
CF2-1	13	0	1656.89299	829.26230	1271.72694	834.50820
CF2-1	13	1	1557.11439	817.45902	1180.21402	818.86885
CF2-1	14	0	1366.54613	323.11475	1188.87823	330.09836
CF2-1	14	1	1313.40959	326.65574	1141.35055	335.40984
CF2-1	15	0	1392.45018	314.26230	1207.23616	322.09836
CF2-1	15	1	1342.56089	319.27869	1154.09963	327.70492
CF2-1	16	0	904.43911	780.16393	710.12915	786.00000
CF2-1	16	1	819.71587	827.67213	618.32103	829.96721
CF2-1	17	0	690.63838	794.01639	357.41328	801.21311
CF2-1	17	1	583.77491	812.90164	259.99631	819.21311
CF2-1	18	0	592.76753	826.22951	308.19188	828.59016
CF2-1	18	1	429.81550	795.54098	93.28413	801.44262
CF2-1	19	0	605.75646	833.31148	329.44649	835.67213
CF2-1	19	1	449.88930	804.98361	119.26199	812.06557
CF2-1	20	0	527.82288	741.24590	298.74539	745.96721
CF2-1	20	1	657.71218	776.65574	428.63469	780.19672
CF2-1	21	0	1270.55351	793.18033	961.18081	796.72131
CF2-1	21	1	1429.96310	971.40984	1059.18819	964.32787
CF2-1	22	0	1533.87454	770.75410	1086.34686	768.39344
CF2-1	22	1	1830.25830	884.06557	1248.11808	862.81967
CF2-1	23	0	549.07749	99.14754	49.59410	96.78689
CF2-1	23	1	675.42435	127.47541	197.19557	131.01639
CF2-1	24	0	758.08118	502.81967	356.60517	511.08197
CF2-1	24	1	694.31734	396.59016	282.21402	404.85246
CF2-1	25	0	1431.14391	491.01639	1302.43542	495.73770
CF2-1	25	1	1499.63100	440.26230	1362.65683	446.16393
CF2-1	26	0	1624.79705	606.68852	1169.00369	609.04918
CF2-1	26	1	1731.07011	618.49180	1275.27675	620.85246
CF2-1	27	0	1662.58303	537.04918	1206.78967	541.77049
CF2-1	27	1	1751.14391	485.11475	1291.80812	492.19672
CF2-1	28	0	1335.49815	455.60656	1154.83395	463.86885
CF2-1	28	1	1408.70849	463.86885	1206.78967	473.31148
CF2-1	29	0	1111.14391	472.13115	743.91144	481.57377
CF2-1	29	1	1181.99262	424.91803	819.48339	435.54098
CF2-1	30	0	1419.33579	443.80328	895.05535	455.60656
CF2-1	30	1	1546.86347	406.03279	1026.12546	416.65574
CF2-1	31	0	458.15498	310.42623	392.02952	338.75410
CF2-1	31	1	540.81181	290.36066	473.50554	317.50820
CF2-1	32	0	772.25092	402.49180	691.95572	417.83607
CF2-1	32	1	826.56827	400.13115	746.27306	415.47541
CF2-1	33	0	695.49815	329.31148	629.37269	350.55738
CF2-1	33	1	759.26199	336.39344	688.41328	355.27869
CF2-1	34	0	631.73432	348.19672	490.03690	368.26230
CF2-1	34	1	585.68266	329.31148	436.90037	352.91803
CF2-1	35	0	1752.32472	881.70492	1385.09225	880.52459
CF2-1	35	1	1637.78598	947.80328	1292.98893	956.06557
CF2-1	36	0	972.98893	525.24590	614.02214	533.50820
CF2-1	36	1	819.48339	473.31148	484.13284	481.57377
CF2-1	37	0	824.20664	278.55738	482.95203	290.36066
CF2-1	37	1	892.69373	221.90164	577.41697	239.60656
CF2-1	38	0	598.67159	306.88525	295.20295	323.40984
CF2-1	38	1	722.65683	332.85246	447.52768	348.19672
CF2-1	39	0	975.35055	403.67213	416.82657	411.93443
CF2-1	39	1	879.70480	347.01639	348.33948	354.09836
CF2-1	40	0	1305.97786	770.75410	834.83395	773.11475
CF2-1	40	1	1385.09225	689.31148	871.43911	691.67213
CF2-1	41	0	1186.20295	283.73770	1061.94834	290.57377
CF2-1	41	1	1141.92251	257.18033	1020.32472	266.08197
CF2-1	42	0	891.51292	332.85246	745.09225	348.19672
CF2-1	42	1	939.92620	283.27869	795.86716	299.80328
CF2-1	43	0	1914.09594	849.83607	1282.36162	827.40984
CF2-1	43	1	1707.45387	841.57377	1153.65314	830.95082
CF2-1	44	0	667.15867	384.78689	586.86347	404.85246
CF2-1	44	1	733.28413	397.77049	650.62731	413.11475
CF2-1	45	0	1259.92620	653.90164	121.62362	669.24590
CF2-1	45	1	1392.17712	546.49180	403.83764	551.21311
CF2-1	46	0	701.40221	841.57377	83.83764	865.18033
CF2-1	46	1	801.77122	751.86885	251.51292	766.03279
CF2-1	47	0	1321.32841	734.16393	978.89299	741.24590
CF2-1	47	1	1444.13284	717.63934	1075.71956	723.54098
CF2-1	48	0	958.81919	162.88525	708.48708	179.40984
CF2-1	48	1	1041.47601	132.19672	787.60148	146.36066
CF2-1	49	0	952.91513	165.24590	703.76384	181.77049
CF2-1	49	1	1035.57196	134.55738	780.51661	152.26230
CF2-1	50	0	965.90406	721.18033	625.83026	729.44262
CF2-1	50	1	1072.17712	718.81967	735.64576	725.90164
CF2-1	51	0	1532.53137	371.85246	1351.91882	377.21311
CF2-1	51	1	1469.35793	396.04918	1308.22878	402.88525
CF2-1	52	0	729.74170	404.85246	675.42435	421.37705
CF2-1	52	1	782.87823	407.21311	732.10332	426.09836
CF2-1	53	0	1600.00000	239.60656	1589.37269	224.26230
